username,name,product_url,main_category,sub_category,product_category,price,sku,image_url
deciem,Stemm - Black Fulvic Conditioner,http://deciem.com/product/stm-fulvic-protein-conditioner-480ml,,,,33.0,stm-fulvic-protein-conditioner-480ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/stm-fulvic-protein-conditioner-480ml.png?v=017c9c4b341cc93dc6b04cd32bd24bfa
deciem,Stemm - Gold Fulvic Conditioner,http://deciem.com/product/stm-gold-fulvic-conditioner-480ml,,,,33.0,stm-gold-fulvic-conditioner-480ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/stm-gold-fulvic-conditioner-480ml.png?v=b6ae57567fa988e74901bb5d62e0b7b7
deciem,Stemm - Density Stimuli,http://deciem.com/product/stm-fulvic-protein-stimuli-60ml,,,,43.0,stm-fulvic-protein-stimuli-60ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/stm-fulvic-protein-stimuli-60ml.png?v=8d1d9c90c9684472eb3703501d76932e
deciem,Fountain - The Glow Molecule,http://deciem.com/product/glow-molecule,,,,50.0,glow-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/glow-molecule.png?v=807c958fc4b830527dfd9846ced055bb
deciem,Fountain - The Phyto-Collagen Molecule,http://deciem.com/product/phyto-collagen-molecule,,,,40.0,phyto-collagen-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/phyto-collagen-molecule.png?v=96442e4947aa79b480201f8c8c864b2f
deciem,Ab Crew - Ab Shredder,http://deciem.com/product/ab-shredder-120-capsules,,,,50.0,ab-shredder-120-capsules,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/ab-shredder-120-capsules.png?v=eb61e162ec8819fb54d2cc9c0b601e96
deciem,Fountain - The Beauty Molecule,http://deciem.com/product/beauty-molecule,,,,28.0,beauty-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/beauty-molecule.png?v=5d4f08cf17ac5b4e749b30bb9b39203c
deciem,Fountain - The Beauty Molecule Extra Strength,http://deciem.com/product/beauty-extra-strength-molecule,,,,68.0,beauty-extra-strength-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/beauty-extra-strength-molecule.png?v=7140a83228ae32943246bf747ea65a2b
deciem,Fountain - The Energy Molecule,http://deciem.com/product/energy-molecule,,,,24.0,energy-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/energy-molecule.png?v=eed5726179ce83a2903f2e95650cc2bb
deciem,Fountain - The Geek Molecule,http://deciem.com/product/geek-molecule,,,,30.0,geek-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/geek-molecule.png?v=f85e574263b178ce55ad9f182b4daf37
deciem,Fountain - The Hair Molecule,http://deciem.com/product/hair-molecule,,,,35.0,hair-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/hair-molecule.png?v=61dde3c9aa7c08450b3076f8cd82991d
deciem,Fountain - The Happy Molecule,http://deciem.com/product/happy-molecule,,,,24.0,happy-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/happy-molecule.png?v=63bd06f7d2c89524d2986736dbcf821a
deciem,Fountain - The Hyaluronic Molecule,http://deciem.com/product/hyaluronic-molecule,,,,30.0,hyaluronic-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/hyaluronic-molecule.png?v=63a40f213ad7f180227a367e686840dc
deciem,Fountain - The Super Green Molecule,http://deciem.com/product/green-molecule,,,,28.0,green-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/green-molecule.png?v=44fd06de7acd61d0d514f4724c5f4e2d
deciem,Fountain - The Super Hyaluronic Molecule,http://deciem.com/product/fnt-the-super-hyaluronic-molecule,,,,43.0,fnt-the-super-hyaluronic-molecule,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/fnt-the-super-hyaluronic-molecule.png?v=64baf07900cac66e5dc5a2d321c142e3
deciem,Ab Crew - Ab Carving Protein,http://deciem.com/product/ab-carving-protein-chocolate-hazelnut-1kg,,,,70.0,ab-carving-protein-chocolate-hazelnut-1kg,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/ab-carving-protein-chocolate-hazelnut-1kg.png?v=0280dad3e866f6243789f5c7b0e0e0f3
deciem,Ab Crew - Ab Carving Protein,http://deciem.com/product/ab-carving-protein-cookies-mint-1kg,,,,70.0,ab-carving-protein-cookies-mint-1kg,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/ab-carving-protein-cookies-mint-1kg.png?v=74d418d5be6c14a5e2a4b93e15c78fd1
deciem,Ab Crew - Ab Carving Protein,http://deciem.com/product/ab-carving-protein-pineapple-vanilla-1kg,,,,70.0,ab-carving-protein-pineapple-vanilla-1kg,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/ab-carving-protein-pineapple-vanilla-1kg.png?v=c4796297c3ff78c89949a73e2d61bba6
deciem,Ab Crew - Ab Carving Protein Artisanal,http://deciem.com/product/ab-carving-protein-caramel-sea-salt-1kg,,,,70.0,ab-carving-protein-caramel-sea-salt-1kg,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/ab-carving-protein-caramel-sea-salt-1kg.png?v=1159690179b64cbba2b7b8bb078b5427
deciem,Ab Crew - After Shave,http://deciem.com/product/after-shave-70ml,,,,23.0,after-shave-70ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/after-shave-70ml.png?v=222f7adaa73c1ef052e49689a1c8da51
deciem,Ab Crew - Hair Minimizing After Shave,http://deciem.com/product/hair-minimizing-after-shave-70ml,,,,24.0,hair-minimizing-after-shave-70ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/hair-minimizing-after-shave-70ml.png?v=eceb5dc0cae2c235d86b47c150c4acae
deciem,Ab Crew - Shave Cream,http://deciem.com/product/shave-cream-120ml,,,,19.0,shave-cream-120ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/shave-cream-120ml.png?v=77d5abe8f6efe53ee4c1465a9a62a15b
deciem,Ab Crew - Shave Gel,http://deciem.com/product/shave-gel-120ml,,,,18.0,shave-gel-120ml,http://b42e5e58a46be85c9a8d-a86d2521f1af8989841b9619f5314be5.r29.cf1.rackcdn.com/products/market-img/shave-gel-120ml.png?v=29043644d27561b4d14cc77e80bba3f0
